trade_date,ts_code,name,market,exchange,industry,sig_ma,sig_macd,sig_rsi,sig_kdj,sig_boll,close,ma_bfq_5,ma_bfq_10,macd_dif_bfq,macd_dea_bfq,macd_bfq,rsi_bfq_6,rsi_bfq_12,kdj_k_bfq,kdj_d_bfq,boll_mid_bfq
20260128,000901.SZ,航天科技,主板,SZSE,汽车配件,1,1,1,1,1,25.54,26.196,26.635,0.299,0.973,-1.347,39.005,45.693,15.26644,17.26534,28.164
20260128,002698.SZ,博实股份,主板,SZSE,化工机械,1,1,1,1,1,16.83,17.2,17.331,0.191,0.271,-0.16,39.015,46.833,21.65737,30.86163,17.155
20260128,688648.SH,中邮科技,科创板,SSE,机床制造,1,1,1,1,1,63.73,64.472,66.059,1.427,2.362,-1.871,39.031,47.951,26.09841,29.46129,66.556
20260128,301079.SZ,邵阳液压,创业板,SZSE,机械基件,1,1,1,1,1,42.51,45.236,46.291,2.96,4.54,-3.159,39.048,48.39,11.62905,18.7686,46.439
20260128,301575.SZ,艾芬达,创业板,SZSE,家居用品,1,1,1,1,1,52.28,53.174,53.813,0.634,0.757,-0.245,39.049,48.379,34.1295,48.93797,52.716
20260128,920981.BJ,晶赛科技,北交所,BSE,元器件,1,1,1,1,1,33.8,34.428,34.432,0.25,0.293,-0.085,39.071,47.691,39.02668,48.80486,34.046
20260128,002302.SZ,西部建设,主板,SZSE,水泥,1,1,1,1,1,6.04,6.138,6.139,-0.042,-0.034,-0.015,39.091,42.798,41.3426,48.15324,6.174
20260128,002194.SZ,武汉凡谷,主板,SZSE,通信设备,1,1,1,1,1,13.28,13.652,13.698,0.158,0.257,-0.197,39.121,46.694,27.94861,35.18941,13.702
20260128,002025.SZ,航天电器,主板,SZSE,元器件,1,1,1,1,1,52.13,53.364,53.861,0.84,1.965,-2.25,39.136,46.295,18.18986,18.27905,56.281
20260128,300259.SZ,新天科技,创业板,SZSE,电器仪表,1,1,1,1,1,4.63,4.722,4.714,0.071,0.079,-0.016,39.138,50.336,50.64128,61.52221,4.642
20260128,301528.SZ,多浦乐,创业板,SZSE,电器仪表,1,1,1,1,1,68.71,70.474,70.334,1.214,1.568,-0.708,39.188,48.66,37.38189,43.19581,69.774
20260128,600435.SH,北方导航,主板,SSE,专用机械,1,1,1,1,1,17.06,17.43,17.541,0.46,0.777,-0.634,39.195,48.117,17.84937,19.71651,18.1
20260128,301262.SZ,海看股份,创业板,SZSE,影视音像,1,1,1,1,1,25.95,26.436,26.47,0.29,0.346,-0.113,39.2,48.237,23.79912,32.36963,26.238
20260128,002316.SZ,亚联发展,主板,SZSE,软件服务,1,1,1,1,1,5.26,5.41,5.398,0.094,0.105,-0.021,39.209,48.87,37.14108,42.78552,5.296
20260128,920885.BJ,星辰科技,北交所,BSE,电器仪表,1,1,1,1,1,23.55,24.488,24.391,0.269,0.602,-0.665,39.21,46.326,20.59559,22.58519,24.878
20260128,600415.SH,小商品城,主板,SSE,商品城,1,1,1,1,1,16.6,16.874,17.017,0.092,0.141,-0.098,39.231,46.648,16.09538,24.24981,16.79
20260128,603187.SH,海容冷链,主板,SSE,机械基件,1,1,1,1,1,15.86,16.186,16.173,0.226,0.256,-0.059,39.234,49.495,47.05464,58.971,15.913
20260128,600635.SH,大众公用,主板,SSE,供气供热,1,1,1,1,1,6.57,6.69,6.657,-0.053,-0.05,-0.006,39.235,44.249,26.69192,29.07403,6.727
20260128,002542.SZ,中化岩土,主板,SZSE,建筑工程,1,1,1,1,1,3.51,3.566,3.579,0.016,0.03,-0.027,39.259,46.717,25.14656,29.92976,3.566
20260128,300404.SZ,博济医药,创业板,SZSE,医疗保健,1,1,1,1,1,10.6,10.814,10.881,0.227,0.303,-0.152,39.274,49.215,19.70666,24.84079,10.761
20260128,000158.SZ,常山北明,主板,SZSE,软件服务,1,1,1,1,1,20.63,20.832,21.032,-0.085,-0.028,-0.113,39.285,44.573,24.61493,26.90106,21.061
20260128,300499.SZ,高澜股份,创业板,SZSE,专用机械,1,1,1,1,1,29.83,29.806,30.84,0.056,0.492,-0.87,39.295,45.317,25.47166,30.02468,31.296
20260128,002015.SZ,协鑫能科,主板,SZSE,新型电力,1,1,1,1,1,10.67,10.94,11.018,0.187,0.203,-0.032,39.324,48.866,38.05582,52.66356,10.706
20260128,301117.SZ,佳缘科技,创业板,SZSE,软件服务,1,1,1,1,1,58.93,62.22,64.359,2.575,3.84,-2.532,39.331,47.858,13.86882,25.78728,61.79
20260128,001202.SZ,炬申股份,主板,SZSE,仓储物流,1,1,1,1,1,17.7,19.366,19.245,0.797,0.899,-0.202,39.333,48.017,24.57343,47.93604,18.013
20260128,301168.SZ,通灵股份,创业板,SZSE,电气设备,1,1,1,1,1,43.88,45.422,45.782,-0.323,-0.133,-0.381,39.338,42.901,35.3794,43.7944,45.785
20260128,600779.SH,水井坊,主板,SSE,白酒,1,1,1,1,1,38.17,38.238,39.02,-0.166,0.035,-0.401,39.34,44.018,23.32374,25.73747,39.198
